TransactionID,Date,ProductName,Category,Region,SalesChannel,Quantity,UnitPrice,TotalAmount,PaymentMode,CustomerID
TXN0026403,2024-01-02,Coffee Jar,Groceries,East,Offline,4,316.5,1266.0,UPI,CUST01199
TXN0004052,2024-01-02,Formal Shirt,Clothing,East,Offline,1,1657.6,1657.6,UPI,CUST01961
TXN0040699,2024-01-02,T-Shirt,Clothing,West,Online,2,3091.94,6183.88,Credit Card,CUST00559
TXN0037674,2024-01-02,Water Bottle,Home & Kitchen,North,Online,3,474.15,1422.45,Credit Card,CUST01831
TXN0024508,2024-01-02,Smartphone,Electronics,East,Online,1,41152.81,41152.81,Credit Card,CUST04391
TXN0006989,2024-01-02,Dress,Clothing,East,Offline,1,2567.97,2567.97,Cash,CUST06600
TXN0017386,2024-01-02,Dress,Clothing,North,Online,4,2103.97,8415.88,Net Banking,CUST08819
TXN0032823,2024-01-02,Perfume,Beauty & Personal Care,North,Online,1,541.51,541.51,Net Banking,CUST09021
TXN0024183,2024-01-02,Tea Powder,Groceries,West,Online,1,305.51,305.51,UPI,CUST05626
TXN0021800,2024-01-02,Shampoo,Beauty & Personal Care,West,Offline,1,1555.77,1555.77,Cash,CUST09265
TXN0008778,2024-01-02,Smartphone,Electronics,North,Online,3,56157.83,168473.49,Cash,CUST01565
TXN0033182,2024-01-02,Formal Shirt,Clothing,North,Offline,2,2649.97,5299.94,UPI,CUST04644
TXN0011670,2024-01-02,Face Wash,Beauty & Personal Care,West,Offline,5,119.74,598.7,Credit Card,CUST06305
TXN0019615,2024-01-02,Sneakers,Clothing,South,Online,2,573.43,1146.86,UPI,CUST02145
TXN0033881,2024-01-02,Pen Set,Books & Stationery,East,Offline,4,731.08,2924.32,UPI,CUST11153
TXN0021985,2024-01-02,Face Wash,Beauty & Personal Care,West,Offline,2,2117.54,4235.08,Net Banking,CUST04312
TXN0024825,2024-01-02,Smartphone,Electronics,South,Online,1,1580.91,1580.91,UPI,CUST07766
TXN0034224,2024-01-02,Jacket,Clothing,East,Offline,3,2564.17,7692.51,Credit Card,CUST05265
TXN0040667,2024-01-02,Laptop,Electronics,East,Online,2,12928.44,25856.88,Credit Card,CUST01646
TXN0027269,2024-01-02,Spices Pack,Groceries,East,Online,1,733.05,733.05,Credit Card,CUST11670
TXN0004249,2024-01-02,Novel,Books & Stationery,North,Offline,3,1039.05,3117.15,Credit Card,CUST09001
TXN0033764,2024-01-02,Wheat Flour 5kg,Groceries,North,Online,1,775.85,775.85,Cash,CUST10446
TXN0034564,2024-01-02,T-Shirt,Clothing,East,Offline,5,510.93,2554.65,UPI,CUST00783
TXN0016386,2024-01-02,Tea Powder,Groceries,North,Online,2,671.06,1342.12,UPI,CUST09457
TXN0008465,2024-01-02,Spices Pack,Groceries,North,Online,1,704.99,704.99,Credit Card,CUST03610
TXN0002995,2024-01-02,Tablet,Electronics,North,Online,2,4763.51,9527.02,UPI,CUST00257
TXN0040170,2024-01-02,Bedsheet Set,Home & Kitchen,East,Offline,1,1988.79,1988.79,UPI,CUST05439
TXN0039000,2024-01-02,Shampoo,Beauty & Personal Care,West,Online,4,1404.83,5619.32,Net Banking,CUST08185
TXN0028105,2024-01-02,Rice 5kg,Groceries,East,Offline,1,120.08,120.08,Credit Card,CUST11986
TXN0047334,2024-01-02,Tea Powder,Groceries,West,Offline,1,313.94,313.94,Net Banking,CUST07243
TXN0034030,2024-01-02,Bluetooth Speaker,Electronics,North,Online,1,19408.16,19408.16,UPI,CUST01847
TXN0027550,2024-01-02,Pressure Cooker,Home & Kitchen,East,Offline,2,4146.18,8292.36,Credit Card,CUST05360
TXN0015719,2024-01-02,Pen Set,Books & Stationery,West,Offline,2,654.55,1309.1,Cash,CUST05936
TXN0023493,2024-01-02,Vacuum Cleaner,Home & Kitchen,North,Online,3,3957.97,11873.91,UPI,CUST11674
TXN0020498,2024-01-02,Jacket,Clothing,North,Online,2,1869.43,3738.86,Credit Card,CUST03128
TXN0016144,2024-01-02,Headphones,Electronics,North,Online,1,42516.23,42516.23,Net Banking,CUST10095
TXN0021454,2024-01-02,Smartphone,Electronics,West,Online,3,56964.84,170894.52,UPI,CUST10318
TXN0041249,2024-01-02,Laptop,Electronics,South,Online,2,36457.17,72914.34,Net Banking,CUST02858
TXN0036053,2024-01-02,Pen Set,Books & Stationery,West,Online,1,946.25,946.25,UPI,CUST03837
TXN0007427,2024-01-02,Laptop,Electronics,West,Offline,3,40642.39,121927.17,Cash,CUST02940
TXN0011564,2024-01-02,Sweater,Clothing,North,Online,2,687.1,1374.2,Cash,CUST09596
TXN0041856,2024-01-02,Perfume,Beauty & Personal Care,East,Online,1,1159.66,1159.66,UPI,CUST02789
TXN0044280,2024-01-03,Bedsheet Set,Home & Kitchen,West,Offline,1,7741.76,7741.76,UPI,CUST07771
TXN0049547,2024-01-03,Laptop,Electronics,South,Online,2,24119.93,48239.86,Net Banking,CUST10472
TXN0004153,2024-01-03,Sunscreen,Beauty & Personal Care,South,Offline,1,1266.05,1266.05,UPI,CUST01990
TXN0010349,2024-01-03,Tea Powder,Groceries,East,Online,2,863.55,1727.1,Credit Card,CUST05818
TXN0004146,2024-01-03,Backpack,Books & Stationery,North,Offline,1,112.8,112.8,UPI,CUST08808
TXN0025454,2024-01-03,Running Shoes,Sports & Fitness,East,Offline,4,3958.47,15833.88,Net Banking,CUST02784
TXN0015364,2024-01-03,Perfume,Beauty & Personal Care,East,Online,3,759.88,2279.64,Credit Card,CUST11515
TXN0024138,2024-01-03,Bluetooth Speaker,Electronics,East,Online,1,873.04,873.04,UPI,CUST06965
TXN0023163,2024-01-03,Laptop,Electronics,East,Offline,2,18377.09,36754.18,Credit Card,CUST09520
TXN0012630,2024-01-03,Water Bottle,Home & Kitchen,East,Offline,2,889.27,1778.54,Credit Card,CUST08779
TXN0041589,2024-01-03,Tablet,Electronics,North,Online,4,6733.74,26934.96,Credit Card,CUST08613
TXN0013229,2024-01-03,Formal Shirt,Clothing,East,Online,1,524.26,524.26,Credit Card,CUST05691
TXN0016342,2024-01-03,Power Bank,Electronics,East,Online,1,11610.56,11610.56,Cash,CUST05203
TXN0022618,2024-01-03,Novel,Books & Stationery,North,Online,1,117.89,117.89,Net Banking,CUST02742
TXN0002873,2024-01-03,Jacket,Clothing,South,Online,3,3855.24,11565.72,UPI,CUST04994
TXN0026739,2024-01-03,Sketchbook,Books & Stationery,East,Offline,2,155.54,311.08,Credit Card,CUST11454
TXN0043020,2024-01-03,Formal Shirt,Clothing,West,Offline,4,1652.71,6610.84,UPI,CUST07961
TXN0047303,2024-01-03,Vacuum Cleaner,Home & Kitchen,West,Online,1,829.91,829.91,UPI,CUST06652
TXN0044978,2024-01-03,Water Bottle,Home & Kitchen,East,Online,1,5946.2,5946.2,UPI,CUST03230
TXN0018526,2024-01-03,Cooking Oil 1L,Groceries,North,Offline,2,673.65,1347.3,Cash,CUST00007
TXN0038337,2024-01-03,T-Shirt,Clothing,West,Online,3,3615.69,10847.07,Cash,CUST04750
TXN0031429,2024-01-03,T-Shirt,Clothing,West,Offline,2,1584.78,3169.56,Net Banking,CUST07176
TXN0023241,2024-01-03,Notebook Pack,Books & Stationery,South,Online,2,260.66,521.32,Credit Card,CUST03563
TXN0014408,2024-01-03,Wheat Flour 5kg,Groceries,East,Offline,1,683.19,683.19,Cash,CUST01907
TXN0049032,2024-01-03,Headphones,Electronics,West,Online,3,16962.93,50888.79,Cash,CUST07270
TXN0044252,2024-01-03,Shampoo,Beauty & Personal Care,East,Offline,4,1966.47,7865.88,UPI,CUST00714
TXN0035806,2024-01-03,Laptop,Electronics,West,Online,1,7483.93,7483.93,UPI,CUST11633
TXN0023813,2024-01-03,Water Bottle,Home & Kitchen,West,Online,2,699.77,1399.54,Credit Card,CUST04233
TXN0002362,2024-01-03,Cycling Helmet,Sports & Fitness,West,Offline,4,5156.8,20627.2,Credit Card,CUST04758
TXN0004621,2024-01-03,Perfume,Beauty & Personal Care,West,Offline,1,541.25,541.25,UPI,CUST09716
TXN0015201,2024-01-03,Headphones,Electronics,North,Online,1,28164.99,28164.99,Cash,CUST08498
TXN0036333,2024-01-03,Formal Shirt,Clothing,East,Offline,1,2056.48,2056.48,UPI,CUST11726
TXN0027324,2024-01-03,T-Shirt,Clothing,South,Offline,1,1834.79,1834.79,Credit Card,CUST10716
TXN0024303,2024-01-03,Cooking Oil 1L,Groceries,South,Online,1,635.73,635.73,Net Banking,CUST11548
TXN0044115,2024-01-03,Shampoo,Beauty & Personal Care,West,Online,1,884.07,884.07,UPI,CUST06788
TXN0024748,2024-01-03,Backpack,Books & Stationery,West,Online,4,542.2,2168.8,Cash,CUST07644
TXN0008161,2024-01-03,Tablet,Electronics,South,Offline,4,18848.14,75392.56,Credit Card,CUST09007
TXN0043521,2024-01-03,Football,Sports & Fitness,North,Online,4,3319.79,13279.16,UPI,CUST08613
TXN0011729,2024-01-03,Power Bank,Electronics,East,Offline,2,2261.38,4522.76,Credit Card,CUST10579
TXN0008331,2024-01-03,Smartphone,Electronics,West,Online,4,7482.72,29930.88,UPI,CUST06940
TXN0021884,2024-01-03,Jeans,Clothing,East,Offline,5,2802.56,14012.8,UPI,CUST02798
TXN0039424,2024-01-03,Lipstick,Beauty & Personal Care,East,Offline,1,2166.62,2166.62,UPI,CUST03694
TXN0001983,2024-01-03,Rice 5kg,Groceries,South,Offline,1,811.0,811.0,UPI,CUST11747
TXN0018657,2024-01-03,Smartwatch,Electronics,West,Online,1,5672.53,5672.53,UPI,CUST11744
TXN0008976,2024-01-03,Dress,Clothing,North,Online,4,2496.26,9985.04,Credit Card,CUST10861
TXN0005562,2024-01-03,Water Bottle,Home & Kitchen,South,Offline,1,2090.03,2090.03,Credit Card,CUST09169
TXN0037551,2024-01-03,Rice 5kg,Groceries,East,Offline,4,175.54,702.16,Cash,CUST01853
TXN0039628,2024-01-03,Backpack,Books & Stationery,South,Online,1,522.19,522.19,Net Banking,CUST10725
TXN0021321,2024-01-03,Jacket,Clothing,South,Offline,2,1753.73,3507.46,Cash,CUST06472
TXN0012825,2024-01-03,Non-stick Pan,Home & Kitchen,North,Offline,1,2398.26,2398.26,Cash,CUST00498
TXN0044652,2024-01-03,Tablet,Electronics,North,Offline,1,57078.61,57078.61,Cash,CUST11158
TXN0038970,2024-01-03,T-Shirt,Clothing,North,Online,1,1586.4,1586.4,UPI,CUST11945
TXN0031032,2024-01-03,Power Bank,Electronics,East,Offline,1,43505.83,43505.83,Credit Card,CUST02136
TXN0018243,2024-01-03,Pen Set,Books & Stationery,West,Offline,3,711.75,2135.25,Credit Card,CUST06128
TXN0037280,2024-01-03,Non-stick Pan,Home & Kitchen,North,Online,2,629.3,1258.6,Cash,CUST03716
TXN0035630,2024-01-03,Shampoo,Beauty & Personal Care,East,Online,2,2349.88,4699.76,UPI,CUST06115
TXN0012880,2024-01-04,Smartwatch,Electronics,North,Online,1,27121.99,27121.99,UPI,CUST11382
TXN0027569,2024-01-04,Coffee Jar,Groceries,West,Online,3,356.94,1070.82,Credit Card,CUST09847
TXN0003257,2024-01-04,Pen Set,Books & Stationery,North,Online,1,165.71,165.71,Cash,CUST10018
TXN0035887,2024-01-04,Bluetooth Speaker,Electronics,West,Online,2,14046.53,28093.06,UPI,CUST10430
TXN0021541,2024-01-04,Power Bank,Electronics,South,Online,1,26808.13,26808.13,Credit Card,CUST08065
TXN0011216,2024-01-04,Non-stick Pan,Home & Kitchen,North,Offline,1,1947.67,1947.67,UPI,CUST03893
TXN0009122,2024-01-04,Coffee Jar,Groceries,South,Offline,2,741.41,1482.82,Credit Card,CUST06763
TXN0026785,2024-01-04,Pen Set,Books & Stationery,South,Offline,1,740.65,740.65,UPI,CUST00288
TXN0014696,2024-01-04,Face Wash,Beauty & Personal Care,East,Offline,2,1186.1,2372.2,UPI,CUST09506
TXN0024688,2024-01-04,Backpack,Books & Stationery,East,Online,1,922.47,922.47,UPI,CUST02661
TXN0044203,2024-01-04,Sneakers,Clothing,East,Online,2,3424.02,6848.04,Net Banking,CUST08640
TXN0025086,2024-01-04,Sweater,Clothing,South,Online,3,2168.13,6504.39,UPI,CUST00537
TXN0020880,2024-01-04,Running Shoes,Sports & Fitness,West,Offline,2,3760.95,7521.9,Net Banking,CUST05341
TXN0039795,2024-01-04,Jacket,Clothing,East,Offline,1,412.33,412.33,Credit Card,CUST11508
TXN0049638,2024-01-04,Headphones,Electronics,West,Online,1,37365.15,37365.15,Cash,CUST00634
TXN0046879,2024-01-04,Sketchbook,Books & Stationery,East,Online,2,529.8,1059.6,Net Banking,CUST07489
TXN0032589,2024-01-04,Tea Powder,Groceries,South,Online,3,181.81,545.43,Credit Card,CUST06403
TXN0036790,2024-01-04,Laptop,Electronics,East,Offline,2,34750.12,69500.24,UPI,CUST08905
TXN0030529,2024-01-04,Laptop,Electronics,South,Online,1,11531.22,11531.22,Credit Card,CUST01554
TXN0002101,2024-01-04,Sweater,Clothing,West,Online,2,532.55,1065.1,UPI,CUST03551
TXN0030004,2024-01-04,Yoga Mat,Sports & Fitness,North,Offline,1,4415.2,4415.2,Cash,CUST08595
TXN0019019,2024-01-04,Smartwatch,Electronics,East,Online,1,51692.62,51692.62,Net Banking,CUST00283
TXN0046717,2024-01-04,Spices Pack,Groceries,West,Offline,2,616.79,1233.58,Credit Card,CUST08321
TXN0020008,2024-01-04,Football,Sports & Fitness,East,Online,1,720.01,720.01,Credit Card,CUST08716
TXN0036508,2024-01-04,Sugar 1kg,Groceries,North,Offline,4,341.44,1365.76,UPI,CUST05731
TXN0042365,2024-01-04,Formal Shirt,Clothing,South,Online,1,3563.72,3563.72,Cash,CUST07976
TXN0044105,2024-01-04,Headphones,Electronics,East,Offline,3,36893.44,110680.32,UPI,CUST05713
TXN0035270,2024-01-04,Jacket,Clothing,South,Offline,1,3355.86,3355.86,Cash,CUST03360
TXN0016745,2024-01-04,Football,Sports & Fitness,West,Online,3,1152.45,3457.35,Net Banking,CUST08523
TXN0010870,2024-01-04,Sweater,Clothing,West,Offline,2,747.62,1495.24,Net Banking,CUST11163
TXN0029482,2024-01-04,Running Shoes,Sports & Fitness,West,Offline,1,5006.11,5006.11,Cash,CUST07725
TXN0001184,2024-01-04,Dress,Clothing,South,Offline,3,2681.61,8044.83,Net Banking,CUST07423
TXN0029905,2024-01-04,Tea Powder,Groceries,East,Online,2,839.9,1679.8,UPI,CUST10496
TXN0003567,2024-01-04,Cycling Helmet,Sports & Fitness,South,Online,1,496.59,496.59,UPI,CUST07251
TXN0036652,2024-01-04,Dress,Clothing,East,Online,4,2863.99,11455.96,Cash,CUST05890
TXN0042462,2024-01-04,Water Bottle,Home & Kitchen,South,Online,1,2870.29,2870.29,Credit Card,CUST03538
TXN0042612,2024-01-05,Cricket Bat,Sports & Fitness,West,Online,3,1781.98,5345.94,Credit Card,CUST07616
TXN0042144,2024-01-05,Lotion,Beauty & Personal Care,East,Online,1,2041.52,2041.52,Net Banking,CUST07461
TXN0012039,2024-01-05,Laptop,Electronics,North,Online,2,38284.78,76569.56,Credit Card,CUST10020
TXN0017617,2024-01-05,Cooking Oil 1L,Groceries,East,Online,3,594.8,1784.4,UPI,CUST01247
TXN0020776,2024-01-05,Smartwatch,Electronics,East,Offline,1,33896.66,33896.66,Credit Card,CUST01896
TXN0021199,2024-01-05,Coffee Jar,Groceries,West,Online,2,447.73,895.46,UPI,CUST04045
TXN0022049,2024-01-05,Bedsheet Set,Home & Kitchen,South,Offline,3,579.24,1737.72,Cash,CUST00618
TXN0003980,2024-01-05,Laptop,Electronics,East,Offline,2,2814.6,5629.2,UPI,CUST00648
TXN0041112,2024-01-05,Sketchbook,Books & Stationery,West,Offline,1,569.85,569.85,UPI,CUST10275
TXN0010494,2024-01-05,Wheat Flour 5kg,Groceries,East,Online,1,846.36,846.36,UPI,CUST02441
TXN0019142,2024-01-05,Sunscreen,Beauty & Personal Care,North,Online,2,2010.33,4020.66,Credit Card,CUST09673
TXN0017156,2024-01-05,Sketchbook,Books & Stationery,East,Online,3,1040.63,3121.89,UPI,CUST01853
TXN0016677,2024-01-05,Non-stick Pan,Home & Kitchen,North,Online,2,798.66,1597.32,Credit Card,CUST00393
TXN0015567,2024-01-05,Bluetooth Speaker,Electronics,North,Online,2,14659.13,29318.26,UPI,CUST05397
TXN0042615,2024-01-05,Cooking Oil 1L,Groceries,East,Online,1,259.74,259.74,UPI,CUST11088
TXN0037748,2024-01-05,Headphones,Electronics,East,Online,3,19237.82,57713.46,UPI,CUST05043
TXN0041243,2024-01-05,Sneakers,Clothing,South,Online,2,2692.7,5385.4,Cash,CUST08535
TXN0022404,2024-01-05,Non-stick Pan,Home & Kitchen,East,Online,1,3931.02,3931.02,UPI,CUST11871
TXN0020131,2024-01-05,T-Shirt,Clothing,South,Online,1,318.28,318.28,Credit Card,CUST01330
TXN0044227,2024-01-05,Rice 5kg,Groceries,West,Offline,1,879.74,879.74,UPI,CUST11783
TXN0027722,2024-01-05,Power Bank,Electronics,North,Offline,1,5805.5,5805.5,UPI,CUST01653
TXN0028355,2024-01-05,Pressure Cooker,Home & Kitchen,East,Offline,3,3527.25,10581.75,UPI,CUST00634
TXN0018596,2024-01-05,Non-stick Pan,Home & Kitchen,West,Offline,1,6742.04,6742.04,Cash,CUST05200
TXN0026014,2024-01-05,Sweater,Clothing,North,Online,1,717.6,717.6,Credit Card,CUST00880
TXN0008641,2024-01-05,Headphones,Electronics,North,Online,1,25146.17,25146.17,UPI,CUST02774
TXN0032509,2024-01-05,Face Wash,Beauty & Personal Care,East,Online,2,1805.37,3610.74,Credit Card,CUST02576
TXN0008807,2024-01-05,Power Bank,Electronics,East,Offline,1,21623.52,21623.52,UPI,CUST06106
TXN0004347,2024-01-05,Water Bottle,Home & Kitchen,North,Online,3,4405.11,13215.33,Credit Card,CUST02415
TXN0008680,2024-01-05,Pen Set,Books & Stationery,East,Online,1,567.95,567.95,Credit Card,CUST01198
TXN0019696,2024-01-05,Face Wash,Beauty & Personal Care,East,Online,5,2497.11,12485.55,Credit Card,CUST00001
TXN0007118,2024-01-05,Headphones,Electronics,South,Online,1,43357.36,43357.36,Net Banking,CUST00109
TXN0049905,2024-01-05,Rice 5kg,Groceries,West,Online,1,123.46,123.46,Net Banking,CUST02018
TXN0041980,2024-01-05,Perfume,Beauty & Personal Care,West,Online,1,2041.1,2041.1,UPI,CUST02447
TXN0038865,2024-01-05,Tea Powder,Groceries,West,Online,1,283.7,283.7,Credit Card,CUST10967
TXN0005703,2024-01-05,Bluetooth Speaker,Electronics,West,Online,3,13954.24,41862.72,Credit Card,CUST02283
TXN0021348,2024-01-05,Smartwatch,Electronics,North,Online,1,58718.61,58718.61,Credit Card,CUST04722
TXN0038903,2024-01-05,T-Shirt,Clothing,South,Online,1,2149.88,2149.88,Credit Card,CUST06009
TXN0035946,2024-01-05,Sugar 1kg,Groceries,West,Online,1,91.25,91.25,UPI,CUST00905
TXN0049929,2024-01-05,Yoga Mat,Sports & Fitness,South,Offline,5,2369.33,11846.65,UPI,CUST11975
TXN0003092,2024-01-05,Spices Pack,Groceries,West,Offline,1,70.81,70.81,Credit Card,CUST10891
TXN0002829,2024-01-05,Bluetooth Speaker,Electronics,West,Offline,3,18731.8,56195.4,Cash,CUST06301
TXN0030545,2024-01-05,Tea Powder,Groceries,North,Online,4,245.93,983.72,UPI,CUST00842
TXN0042389,2024-01-05,Water Bottle,Home & Kitchen,South,Online,5,5026.95,25134.75,UPI,CUST00527
TXN0016259,2024-01-05,Water Bottle,Home & Kitchen,South,Online,2,7222.18,14444.36,Credit Card,CUST03167
TXN0020545,2024-01-05,Bedsheet Set,Home & Kitchen,South,Offline,4,4746.07,18984.28,Cash,CUST08731
TXN0027697,2024-01-05,Smartphone,Electronics,North,Online,1,59834.32,59834.32,UPI,CUST00803
TXN0032358,2024-01-05,Water Bottle,Home & Kitchen,North,Offline,2,4733.89,9467.78,Credit Card,CUST01322
TXN0030242,2024-01-05,Laptop,Electronics,South,Online,1,47917.36,47917.36,Cash,CUST08193
TXN0022281,2024-01-05,Formal Shirt,Clothing,North,Online,2,389.1,778.2,Net Banking,CUST09071
TXN0046787,2024-01-05,Face Wash,Beauty & Personal Care,East,Online,1,2276.47,2276.47,Credit Card,CUST05594
TXN0041444,2024-01-05,Sweater,Clothing,West,Offline,1,3987.36,3987.36,Cash,CUST04192
TXN0005358,2024-01-05,Bluetooth Speaker,Electronics,South,Offline,2,44942.14,89884.28,Credit Card,CUST02459
TXN0046753,2024-01-05,Bluetooth Speaker,Electronics,West,Online,2,32366.43,64732.86,Net Banking,CUST03938
TXN0038399,2024-01-05,Sugar 1kg,Groceries,South,Online,1,96.39,96.39,Credit Card,CUST09610
TXN0036706,2024-01-05,Perfume,Beauty & Personal Care,North,Online,2,2486.41,4972.82,UPI,CUST08766
TXN0011579,2024-01-05,Non-stick Pan,Home & Kitchen,West,Online,2,1685.22,3370.44,UPI,CUST09135
TXN0044169,2024-01-05,Dress,Clothing,South,Online,1,2701.47,2701.47,Net Banking,CUST02418
TXN0045078,2024-01-05,Tea Powder,Groceries,North,Offline,1,559.69,559.69,Credit Card,CUST03368
TXN0027634,2024-01-05,Power Bank,Electronics,South,Online,4,27201.32,108805.28,Net Banking,CUST06221
TXN0034432,2024-01-05,Tea Powder,Groceries,West,Online,2,832.16,1664.32,Credit Card,CUST01981
TXN0019103,2024-01-05,Smartwatch,Electronics,North,Online,1,17834.14,17834.14,UPI,CUST02145
TXN0045816,2024-01-05,Coffee Jar,Groceries,South,Online,2,585.01,1170.02,UPI,CUST09401
TXN0036463,2024-01-05,Jacket,Clothing,East,Offline,1,2351.97,2351.97,Net Banking,CUST01236
TXN0022010,2024-01-05,Sugar 1kg,Groceries,South,Online,3,327.12,981.36,UPI,CUST03254
TXN0041090,2024-01-05,Sneakers,Clothing,East,Offline,4,332.74,1330.96,UPI,CUST11251
TXN0017493,2024-01-05,Sneakers,Clothing,North,Online,3,3326.61,9979.83,Net Banking,CUST10604
TXN0042145,2024-01-06,Dress,Clothing,South,Online,2,1817.76,3635.52,Credit Card,CUST01431
TXN0020786,2024-01-06,Laptop,Electronics,West,Offline,3,45911.81,137735.43,UPI,CUST09471
TXN0015634,2024-01-06,Jeans,Clothing,South,Online,4,3222.92,12891.68,Cash,CUST10306
TXN0034530,2024-01-06,Backpack,Books & Stationery,West,Offline,1,329.48,329.48,Cash,CUST03993
TXN0030544,2024-01-06,Water Bottle,Home & Kitchen,West,Online,1,3729.14,3729.14,Cash,CUST08968
TXN0030435,2024-01-06,Sugar 1kg,Groceries,East,Offline,1,307.59,307.59,Cash,CUST02908
TXN0019125,2024-01-06,Laptop,Electronics,East,Offline,3,59346.74,178040.22,Credit Card,CUST05546
TXN0017417,2024-01-06,Perfume,Beauty & Personal Care,South,Online,4,1117.33,4469.32,Credit Card,CUST10147
TXN0036813,2024-01-06,Water Bottle,Home & Kitchen,West,Online,1,6204.19,6204.19,Credit Card,CUST07706
TXN0026336,2024-01-06,Wheat Flour 5kg,Groceries,North,Offline,1,815.66,815.66,UPI,CUST10718
